County of Jurisdiction, PK Grade Matched, K-12 Grade Matched, Adult Grade Matched, Total Matched, Total K-12 Grade Matched, PK Age Unmatched, K-12 Age Unmatched, Adult Age Unmatched, Total Unmatched, Total K-12 Age Unmatched, Total Foster Count, Total Foster K-12 Grade/Age, Match Percent, Match Percent K-12 Grade
Alameda,12,970,0,982,970,78,75,33,186,75,1168,1045,2019-20,0.8407534246575,0.9282296650717,
Alpine,0,2,0,2,2,0,0,0,0,0,2,2,2019-20,1.0000000000000,1.0000000000000,
Amador,2,48,0,50,48,3,0,1,4,0,54,48,2019-20,0.9259259259259,1.0000000000000,
Butte,2,377,0,379,377,35,28,5,68,28,447,405,2019-20,0.8478747203579,0.9308641975308,
Calaveras,0,75,0,75,75,6,2,0,8,2,83,77,2019-20,0.9036144578313,0.9740259740259,
Colusa,0,49,0,49,49,3,4,0,7,4,56,53,2019-20,0.8750000000000,0.9245283018867,
Contra Costa,6,666,0,672,666,46,24,4,74,24,746,690,2019-20,0.9008042895442,0.9652173913043,
Del Norte,0,71,0,71,71,7,6,1,14,6,85,77,2019-20,0.8352941176470,0.9220779220779,
El Dorado,6,211,0,217,211,16,3,3,22,3,239,214,2019-20,0.9079497907949,0.9859813084112,
Fresno,30,1956,0,1986,1956,167,98,6,271,98,2257,2054,2019-20,0.8799291094373,0.9522882181110,
Glenn,4,57,0,61,57,6,3,0,9,3,70,60,2019-20,0.8714285714285,0.9500000000000,
Humboldt,2,434,0,436,434,40,12,0,52,12,488,446,2019-20,0.8934426229508,0.9730941704035,
Imperial,5,435,0,440,435,16,6,6,28,6,468,441,2019-20,0.9401709401709,0.9863945578231,
Inyo,1,9,0,10,9,3,0,0,3,0,13,9,2019-20,0.7692307692307,1.0000000000000,
Kern,15,1361,0,1376,1361,83,11,6,100,11,1476,1372,2019-20,0.9322493224932,0.9919825072886,
Kings,0,343,0,343,343,31,27,0,58,27,401,370,2019-20,0.8553615960099,0.9270270270270,
Lake,0,73,0,73,73,9,2,2,13,2,86,75,2019-20,0.8488372093023,0.9733333333333,
Lassen,0,67,0,67,67,9,1,0,10,1,77,68,2019-20,0.8701298701298,0.9852941176470,
Los Angeles,355,16011,2,16368,16011,1764,1315,110,3189,1315,19557,17326,2019-20,0.8369381807025,0.9241025049059,
Madera,1,298,0,299,298,16,18,1,35,18,334,316,2019-20,0.8952095808383,0.9430379746835,
